,duration,views,saves
400,23 days,"10,559",964
401,2 days,889,65
402,2 days,571,40
403,2 days,"1,092",47
404,39 days,"2,617",183
405,1 day,"1,269",98
406,2 days,457,14
407,57 days,"5,116",360
408,24 days,"4,436",254
409,2 days,907,64
410,277 days,"8,727",406
411,4 days,"1,670",131
412,1 day,"1,195",90
413,1 day,"1,043",67
414,2 days,739,55
415,1 day,597,47
416,3 days,"1,339",44
417,4 days,"1,141",58
418,31 days,"13,709",489
419,17 days,"3,269",130
420,44 days,"8,189",276
421,57 days,"5,439",268
422,14 days,"4,760",375
423,3 days,616,26
424,4 days,929,72
425,3 days,881,40
426,2 days,"1,196",74
427,5 days,"3,863",140
428,1 day,478,33
429,1 day,"2,785",168
430,1 day,"1,478",85
431,1 day,443,30
432,2 days,"1,382",57
433,4 hours,41,3
434,2 days,749,18
435,3 days,"1,699",85
436,3 days,772,51
437,2 days,"2,007",74
438,5 days,"2,715",139
439,3 days,"1,896",145
440,4 days,"2,413",147
441,26 days,"9,945",404
442,41 days,"12,838",614
443,22 days,"13,326",339
444,2 days,615,39
445,1 day,415,21
446,4 days,"2,888",126
447,3 days,"1,218",68
448,15 hours,203,3
449,1 day,"1,072",86
450,2 days,581,39
451,20 hours,300,12
452,1 day,339,22
453,4 days,"1,280",87
454,3 days,"1,466",86
455,1 day,611,49
456,5 days,"1,305",109
457,58 days,"2,703",184
458,4 days,"3,506",196
459,1 day,240,20
460,9 days,"4,068",156
461,8 hours,143,16
462,1 day,267,22
463,1 day,527,37
464,1 day,379,22
465,1 day,501,44
466,91 days,"8,078",382
467,5 days,"1,436",77
468,5 days,"1,235",55
469,3 days,499,24
470,1 day,91,0
471,3 days,480,43
472,1 day,929,40
473,1 day,724,61
474,9 hours,102,9
475,2 days,691,38
476,1 day,597,20
477,206 days,"22,329",440
478,5 days,"1,541",103
479,1 day,534,20
480,4 days,"1,226",85
481,120 days,"3,345",182
482,1 day,858,44
483,1 day,"1,177",95
484,2 days,314,15
485,1 day,223,11
486,2 days,785,22
487,12 days,"6,290",242
488,1 day,"1,208",103
489,2 days,692,28
490,85 days,"4,617",304
491,2 days,736,36
492,1 day,658,52
493,2 days,913,63
494,1 day,"1,158",75
495,2 days,270,15
496,4 days,"1,062",51
497,3 days,919,58
498,3 days,"1,870",95
499,1 day,384,15
500,116 days,"9,018",298
501,1 day,360,32
502,1 day,509,28
503,1 day,707,31
504,4 days,"1,817",58
505,4 days,"1,442",97
506,1 day,189,5
507,87 days,"6,215",315
508,18 days,"6,256",232
509,4 days,"1,073",64
510,1 day,829,43
511,1 day,800,29
512,17 days,"8,837",403
513,16 days,"4,306",238
514,68 days,"7,247",257
515,5 days,"1,359",88
516,5 days,"1,828",78
517,2 days,480,19
518,2 days,145,11
519,1 day,371,23
520,4 days,817,36
521,22 days,"2,783",101
522,2 days,716,51
523,4 days,"1,658",67
524,12 days,"4,103",124
525,1 day,129,8
526,110 days,"5,487",230
527,1 day,518,35
528,1 day,267,14
529,1 day,"1,116",55
530,103 days,"5,511",247
531,24 days,"4,373",329
532,9 days,"2,173",141
533,1 day,507,20
534,113 days,797,58
535,1 day,227,5
536,4 days,601,47
537,4 days,"1,043",59
538,101 days,"5,708",288
539,4 days,"1,201",55
540,25 days,"2,460",131
541,61 days,"4,344",208
542,2 days,351,11
543,4 days,"1,375",113
544,3 days,632,33
545,1 day,451,17
546,3 days,538,54
547,4 days,"1,406",49
548,22 days,"12,268",325
549,2 days,733,23
550,1 day,526,15
551,54 days,"5,463",151
552,5 days,"1,155",64
553,3 days,463,32
554,5 days,"1,401",67
555,1 day,313,18
556,10 days,"4,210",216
557,92 days,"3,833",140
558,29 days,"3,759",146
559,8 days,"3,037",159
560,3 days,704,30
561,3 days,"2,572",140
562,2 days,"1,877",81
563,2 days,"3,056",157
564,4 days,"2,013",130
565,5 days,"1,703",118
566,2 days,"2,829",130
567,2 days,730,42
568,5 days,"4,950",205
569,3 days,844,63
570,14 days,"5,700",345
571,42 days,"8,132",315
572,2 days,"2,068",100
573,2 days,639,19
574,17 hours,256,18
575,7 days,"5,721",369
576,27 days,"5,922",308
577,2 days,"1,061",95
578,4 days,"2,597",151
579,2 days,970,109
580,17 days,"8,303",338
581,3 days,"1,132",57
582,4 days,"2,293",143
583,30 days,"6,706",326
584,12 days,"4,176",170
585,4 days,"2,520",123
586,2 days,"1,141",41
587,6 days,"1,544",133
588,1 day,843,43
589,1 day,434,21
590,4 days,"1,015",82
591,18 days,"6,292",361
592,2 days,"2,427",112
593,1 day,589,19
594,2 days,894,56
595,15 days,"7,647",350
596,17 days,"8,278",303
597,2 days,"1,231",53
598,150 days,"3,780",268
599,2 days,858,58
600,62 days,"4,740",290
601,4 days,"2,115",106
602,1 day,416,32
603,2 days,"1,081",74
604,1 day,558,13
605,1 day,280,14
606,2 days,777,40
607,2 days,257,14
608,43 days,"4,679",280
609,1 day,"1,306",95
610,2 days,"1,152",41
611,2 days,523,20
612,2 days,"1,090",82
613,1 day,296,17
614,4 days,"2,386",97
615,1 day,655,53
616,2 days,747,54
617,1 day,520,20
618,,,
619,52 days,"5,189",225
620,2 days,573,38
621,13 days,"5,772",235
622,5 days,996,71
623,3 days,"1,629",73
624,8 days,"3,108",152
625,1 day,959,53
626,1 day,326,20
627,2 days,180,6
628,1 day,355,20
629,2 days,283,9
630,2 days,205,8
631,2 days,272,12
632,1 day,341,23
633,14 days,"2,643",276
634,7 days,"1,238",82
635,1 day,405,15
636,1 day,284,18
637,1 day,"1,051",81
638,39 days,"5,601",359
639,3 days,747,60
640,2 days,"1,011",48
641,12 days,"2,092",113
642,37 days,"3,244",157
643,4 days,887,67
644,2 days,598,47
645,2 days,840,50
646,1 day,297,16
647,2 days,655,27
648,2 days,712,49
649,2 days,952,48
650,10 days,"3,911",313
651,1 day,351,21
652,11 days,"5,588",227
653,2 days,488,40
654,1 day,633,38
655,9 days,"2,689",192
656,29 days,"9,315",333
657,2 days,"1,204",47
658,47 days,"7,917",281
659,2 days,125,2
660,1 day,545,47
661,1 day,256,4
662,5 days,"1,164",69
663,68 days,"3,766",220
664,2 days,975,84
665,1 day,500,30
666,2 days,967,52
667,5 days,"1,550",69
668,1 day,446,34
669,1 day,449,20
670,1 day,248,14
671,1 day,735,55
672,45 days,"11,432",408
673,25 days,"4,849",163
674,2 days,659,20
675,1 day,286,18
676,1 day,407,28
677,3 days,"1,390",56
678,107 days,"4,387",244
679,4 days,"1,227",64
680,1 day,751,67
681,1 day,334,33
682,1 day,761,65
683,2 days,210,11
684,3 days,"1,281",55
685,2 days,671,24
686,7 days,"5,178",307
687,15 days,"3,134",124
688,61 days,"6,670",242
689,2 days,706,47
690,1 day,104,2
691,2 days,488,31
692,1 day,498,21
693,96 days,"3,457",238
694,114 days,"4,218",174
695,1 day,457,8
696,76 days,"15,384",495
697,46 days,"4,041",188
698,2 days,"1,075",98
699,2 days,205,14
700,1 day,546,44
701,2 days,646,55
702,18 days,"1,808",94
703,2 days,"4,727",168
704,3 days,"3,126",173
705,2 days,"1,748",104
706,5 days,"2,757",80
707,7 days,"2,520",125
708,4 days,"2,366",127
709,5 days,"2,310",100
710,4 days,"2,092",64
711,1 day,540,22
712,4 days,"2,394",88
713,4 days,916,56
714,4 days,"1,143",73
715,3 days,874,34
716,3 days,"1,528",47
717,4 days,"1,096",66
718,1 day,442,15
719,3 days,"1,303",58
720,3 days,"1,363",56
721,1 day,407,18
722,15 days,"9,501",618
723,5 days,903,46
724,10 days,"8,643",355
725,17 days,"20,194","1,000"
726,5 days,"1,920",66
727,3 days,"1,815",105
728,53 days,"14,520",759
729,8 days,"5,640",213
730,8 days,"2,053",132
731,43 days,"14,009",468
732,3 days,"2,105",131
733,96 days,"19,493",668
734,9 days,"5,789",159
735,3 days,743,60
736,36 days,"8,506",403
737,3 days,"3,093",223
738,7 days,"3,280",275
739,59 days,"1,615",134
740,13 days,"5,187",237
741,7 days,"4,807",321
742,7 days,654,50
743,2 days,"1,178",64
744,9 days,"2,452",150
745,4 days,"3,023",116
746,5 days,"4,063",153
747,4 days,"2,983",191
748,4 days,"2,103",88
749,8 days,"2,478",104
750,3 days,781,75
751,10 days,"1,884",100
752,7 days,"5,846",177
753,3 days,"1,235",102
754,16 days,"4,406",354
755,57 days,"2,572",127
756,2 days,935,73
757,20 days,"3,584",273
758,4 days,"1,365",124
759,55 days,"3,764",213
760,29 days,"3,256",209
761,12 days,"6,399",293
762,21 hours,104,5
763,40 days,"6,031",258
764,2 days,524,30
765,3 days,"1,332",92
766,11 days,"2,566",166
767,3 days,753,59
768,1 day,201,5
769,3 days,"1,124",73
770,176 days,"16,294",734
771,3 days,998,64
772,3 days,875,28
773,57 days,"3,856",303
774,2 days,809,53
775,2 days,924,69
776,5 days,"1,294",56
777,3 days,"1,228",79
778,66 days,"10,072",485
779,29 days,"4,009",250
780,12 days,"5,816",322
781,4 days,694,79
782,9 days,"3,461",157
783,1 day,285,11
784,1 day,221,12
785,4 days,"1,812",61
786,2 days,528,34
787,5 days,"1,516",79
788,2 days,600,18
789,1 day,489,36
790,15 days,"3,932",154
791,12 days,"3,309",235
792,5 days,"1,500",73
793,88 days,"9,393",536
794,16 days,"4,324",285
795,2 days,229,21
796,1 day,585,54
797,2 days,"1,071",87
798,36 days,"6,059",305
799,1 day,134,6
800,9 days,"4,319",161
801,20 days,"9,493",391
802,3 days,"2,053",79
803,3 days,671,28
804,4 days,806,16
805,1 day,359,17
806,2 days,293,21
807,3 days,617,26
808,3 days,"1,302",137
809,3 days,947,66
810,18 days,"7,111",432
811,2 days,143,4
812,4 days,996,60
813,5 days,811,22
814,7 days,"1,834",85
815,5 days,"1,032",87
816,1 day,175,11
817,3 days,784,34
818,2 days,976,68
819,1 day,329,8
820,15 days,"3,740",145
821,19 days,"6,099",335
822,2 hours,16,2
823,1 day,370,27
824,10 days,"3,726",283
825,2 days,"1,173",83
826,3 days,400,17
827,1 day,458,19
828,3 days,919,61
829,5 days,923,22
830,1 day,289,21
831,1 day,312,20
832,21 hours,231,13
833,85 days,"2,046",80
834,4 days,880,72
835,1 day,375,16
836,3 days,469,11
837,13 hours,346,4
838,185 days,"8,032",484
839,1 day,"1,462",103
840,1 day,135,4
841,1 day,516,22
842,3 days,580,39
843,1 day,151,7
844,1 day,135,9
845,1 day,283,28
846,8 days,"1,385",64
847,4 days,"1,342",56
848,92 days,"1,671",131
849,7 days,"1,758",127
850,80 days,"12,672",602
851,2 days,"1,180",36
852,1 day,125,11
853,1 day,314,12
854,4 days,"1,013",44
855,5 days,"1,578",88
856,1 day,410,15
857,2 days,395,40
858,2 days,261,6
859,3 days,"3,784",156
860,3 days,"2,573",100
861,7 days,"12,591",374
862,3 days,992,88
863,3 days,"1,487",114
864,4 days,"1,937",125
865,8 days,"5,486",248
866,7 days,"2,697",84
867,3 days,673,30
868,3 days,"1,304",69
869,1 day,616,18
870,2 days,709,39
871,1 day,310,16
872,4 days,933,56
873,1 day,378,26
874,2 days,"1,282",25
875,1 day,664,27
876,3 days,964,68
877,40 days,"18,003",775
878,5 days,"1,770",51
879,2 days,"1,077",59
880,3 days,"1,250",56
881,3 days,851,21
882,10 days,"5,133",258
883,34 days,"7,066",427
884,2 days,"1,348",124
885,15 days,"8,469",600
886,1 day,213,9
887,4 days,"1,088",54
888,9 days,"3,020",208
889,4 days,"1,152",101
890,30 days,"9,440",528
891,19 days,"4,736",355
892,4 days,"2,193",131
893,5 days,"1,599",80
894,4 days,850,81
895,3 days,"3,371",179
896,5 days,"1,971",160
897,2 days,"1,110",52
898,3 days,"2,008",165
899,16 days,"7,130",364
900,3 days,"1,013",25
901,8 days,"3,069",275
902,85 days,"5,255",380
903,3 days,270,26
904,3 days,"2,063",153
905,4 days,"1,457",142
906,7 days,"4,722",248
907,3 days,"1,706",109
908,7 days,"3,289",192
909,7 days,"1,679",60
910,3 days,"1,292",57
911,7 days,"2,641",170
912,3 days,"1,774",101
913,56 days,"5,436",252
914,2 days,874,40
915,29 days,"7,064",538
916,12 hours,159,15
917,21 days,"4,390",230
918,68 days,"9,761",528
919,2 days,742,46
920,9 days,"2,462",178
921,3 days,"1,005",61
922,3 days,690,33
923,4 days,"1,220",81
924,8 days,"5,077",166
925,16 days,"5,066",319
926,8 days,"2,573",185
927,6 days,"1,066",112
928,1 day,223,14
929,9 days,"2,880",183
930,36 days,"2,414",152
931,2 days,"1,449",180
932,4 days,995,63
933,8 days,"2,395",183
934,3 days,413,27
935,73 days,"4,706",187
936,3 days,636,72
937,4 days,"1,116",72
938,30 days,"4,594",225
939,3 days,501,39
940,57 days,"4,763",298
941,45 days,"9,002",327
942,4 days,"2,328",142
943,11 hours,325,19
944,3 days,526,53
945,2 days,"1,049",50
946,3 days,998,48
947,11 days,"5,851",214
948,3 days,"1,096",28
949,16 hours,91,4
950,3 days,"1,998",100
951,7 days,"3,134",120
952,2 days,"1,128",70
953,3 days,947,71
954,2 days,"1,336",50
955,2 days,"1,120",58
956,4 days,"1,495",101
957,3 days,802,49
958,17 days,"3,477",178
959,1 day,243,9
960,1 day,196,7
961,5 days,"1,057",65
962,7 days,"1,518",134
963,3 days,"1,784",82
964,113 days,"13,288",522
965,16 days,"3,383",267
966,9 days,"3,330",230
967,1 day,143,20
968,40 days,"6,179",448
969,2 days,675,72
970,1 day,295,16
971,3 days,"1,139",85
972,1 day,237,9
973,1 day,177,4
974,52 days,"5,455",367
975,37 days,"2,991",200
976,81 days,"9,514",353
977,2 days,248,15
978,2 days,561,23
979,4 days,859,44
980,81 days,"9,524",450
981,1 day,438,28
982,127 days,"13,871",531
983,11 hours,40,1
984,31 days,"1,544",130
985,1 day,246,21
986,1 day,512,24
987,1 day,120,3
988,3 days,525,26
989,2 days,558,46
990,2 days,159,5
991,1 day,285,16
992,18 days,"3,034",210
993,12 days,"1,854",107
994,2 days,166,10
995,9 days,"3,109",140
996,11 days,"3,454",231
997,1 day,335,14
998,3 days,441,26
999,1 day,559,12
1000,80 days,"30,228",748
1001,2 days,"2,746",173
1002,2 days,"2,520",201
1003,2 days,"3,119",129
1004,2 days,"2,946",145
1005,3 days,"2,542",207
1006,36 days,"34,953","1,066"
1007,4 days,"2,815",224
1008,3 days,"1,788",93
1009,3 days,"1,209",78
1010,28 days,"13,767",417
1011,3 days,"1,212",85
1012,3 days,"2,869",82
1013,5 days,"3,449",159
1014,2 days,"2,162",115
1015,8 days,"2,320",227
1016,2 days,"1,114",66
1017,11 hours,316,29
1018,2 days,"1,625",54
1019,1 day,"1,371",89
1020,3 days,"2,737",167
1021,3 days,"2,052",122
1022,66 days,"24,900",741
1023,4 days,"2,733",110
1024,3 days,"2,671",123
1025,3 days,"1,760",107
1026,1 day,"1,011",88
1027,4 days,"3,172",112
1028,2 days,"1,415",71
1029,1 day,307,12
1030,1 day,853,52
1031,9 days,"4,382",385
1032,4 days,"2,360",186
1033,2 days,732,65
1034,5 days,"2,472",140
1035,14 hours,58,1
1036,3 days,"1,487",106
1037,1 day,"1,134",101
1038,5 days,"2,852",138
1039,1 day,"1,009",62
1040,1 day,"1,423",76
1041,6 days,"2,509",174
1042,5 days,"2,534",134
1043,3 days,"1,168",35
1044,9 days,"5,894",344
1045,3 days,"2,506",84
1046,3 days,"1,743",87
1047,1 day,414,10
1048,1 day,"2,877",187
1049,1 day,914,38
1050,2 days,"1,153",34
1051,12 hours,105,5
1052,1 day,792,31
1053,1 day,"1,065",47
1054,3 days,"2,229",76
1055,1 day,"1,960",129
1056,5 days,"2,278",156
1057,59 days,"9,713",312
1058,2 days,412,27
1059,11 days,"2,927",279
1060,2 days,747,33
1061,1 day,256,10
1062,1 day,440,25
1063,17 days,"8,166",398
1064,50 days,"21,032",489
1065,1 day,647,42
1066,2 days,509,32
1067,2 days,906,29
1068,2 days,543,27
1069,8 days,"2,975",107
1070,11 days,"7,614",358
1071,2 days,"1,176",59
1072,43 days,"4,040",301
1073,1 day,802,31
1074,4 days,"1,304",60
1075,2 days,"1,597",115
1076,3 days,"1,589",69
1077,1 day,260,6
1078,1 day,612,41
1079,5 days,"1,994",156
1080,4 days,"1,132",68
1081,4 days,"1,221",52
1082,5 days,"1,990",63
1083,3 days,"1,278",63
1084,1 day,283,3
1085,1 day,185,4
1086,74 days,"2,881",146
1087,3 days,"1,246",111
1088,3 days,578,27
1089,3 days,887,48
1090,4 days,"2,016",89
1091,1 day,"1,684",115
1092,1 day,562,24
1093,2 days,"1,242",41
1094,2 days,663,24
1095,10 days,"3,877",163
1096,1 day,771,5
1097,6 days,"1,547",97
1098,1 day,750,31
1099,44 days,"4,348",335
1100,2 days,"1,433",76
1101,1 day,626,19
1102,1 day,348,12
1103,3 days,"1,765",90
1104,1 day,275,2
1105,38 days,"9,262",399
1106,2 days,"1,222",85
1107,16 days,"10,076",340
1108,2 days,"1,028",67
1109,3 days,871,49
1110,2 days,"1,127",51
1111,1 day,637,34
1112,2 days,"1,460",44
1113,4 days,"1,486",71
1114,53 days,"13,439",635
1115,2 days,524,19
1116,17 days,"4,694",258
1117,3 days,"1,181",97
1118,5 days,"2,043",67
1119,5 hours,18,0
1120,16 days,"7,775",387
1121,9 days,"3,764",155
1122,1 day,869,42
1123,47 days,"4,155",289
1124,1 day,941,41
1125,63 days,"3,343",196
1126,2 days,920,57
1127,24 days,"2,301",109
1128,1 day,"1,026",27
1129,25 days,"8,945",186
1130,3 days,"1,332",68
1131,1 day,"1,063",47
1132,124 days,"1,119",89
1133,72 days,"5,240",261
1134,1 day,657,19
1135,18 days,"3,959",253
1136,3 days,915,88
1137,2 days,590,23
1138,3 days,833,47
1139,4 days,"2,044",62
1140,1 day,367,23
1141,4 days,"2,292",106
1142,102 days,"9,004",246
1143,1 day,403,28
1144,4 days,"1,121",67
1145,3 days,"2,035",117
1146,3 days,"2,459",73
1147,3 days,"3,697",146
1148,2 days,"1,342",43
1149,5 days,"3,568",154
1150,5 days,"2,593",100
1151,3 days,"1,409",54
1152,1 day,917,45
1153,10 days,"10,963",636
1154,37 days,"14,295",529
1155,4 days,"1,446",104
1156,4 days,"2,492",160
1157,3 days,"1,705",111
1158,8 days,"7,039",284
1159,4 days,"3,266",142
1160,3 days,"2,532",236
1161,6 days,"6,172",395
1162,3 days,"1,353",108
1163,4 days,"2,337",199
1164,4 days,"1,716",97
1165,3 days,"3,669",200
1166,6 days,"2,712",95
1167,16 hours,150,3
1168,4 days,"1,940",113
1169,2 days,409,6
1170,4 days,812,33
1171,3 days,"1,788",99
1172,2 days,350,16
1173,3 days,"1,283",33
