,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1558,Single family residence,Built in 1928,"Forced air, natural gas",Central air,2 Off street,"4,791 sqft",$132 price/sqft,,33869624
1559,Single family residence,Built in 1941,"Electric, radiant","None, attic fan",3.5 Garage spaces,3.36 Acres,$120 price/sqft,2.5% buyers agency fee,34734350
1560,Condo shared wall,Built in 1994,"Forced air, natural gas",Central air,1 Attached garage space,,$155 price/sqft,,34109703
1561,Single family residence,Built in 1970,"Electric, forced air, natural gas",No data,2 Attached garage spaces,4.43 Acres,$57 price/sqft,,2060719818
1562,Single family residence,Built in 1901,"Hot water, natural gas",None,"Asphalt, driveway, none, off street, shared driveway","4,800 sqft",$2 price/sqft,$900.00 buyers agency fee,34621671
1563,Singlefamily,Built in 1947,Forced air,Central,No data,"6,751 sqft",$109 price/sqft,,35109997
1564,Single family residence,Built in 1973,"Fireplace(s), gas",Central air,2 Attached garage spaces,0.46 Acres,$102 price/sqft,,35331493
1565,Single family residence,Built in 1961,Natural gas,Central air,1 Attached garage space,"10,018 sqft",$147 price/sqft,,33912630
1566,Singlefamily,Built in 1972,"Forced air, gas",Central,2 Parking spaces,0.26 Acres,$122 price/sqft,,34984756
1567,"Townhouse, condominium",Built in 2006,"Forced air, gas",Central air,1 Garage space,No data,$90 price/sqft,,82180489
1568,"Townhouse, condominium",Built in 1974,"Forced air, gas",Central air,1 Garage space,"1,241 sqft",$94 price/sqft,,35395228
1569,Single family residence,Built in 1909,Forced air,Central air,3 Garage spaces,0.38 Acres,$358 price/sqft,,34213966
1570,"Townhouse, single family residence",Built in 1998,"Forced air, gas",Central air,2 Attached garage spaces,"2,282 sqft",$142 price/sqft,,35367013
1571,Residential,Built in 1951,Forced air,No data,2 Covered parking spaces,0.69 Acres,$119 price/sqft,2.5% buyers agency fee,33125767
1572,Single family residence,Built in 1975,"Electric, forced air, oil",Central air,Carport,1.32 Acres,$135 price/sqft,,35330796
1573,Single family residence,Built in 1923,"Forced air, natural gas",Central air,1 Garage space,"6,098 sqft",$116 price/sqft,3.00% buyers agency fee,33325341
1574,Single family residence,Built in 1960,"Forced air, gas",Central air,1 Garage space,"8,642 sqft",$122 price/sqft,,58559724
1575,Single family residence,Built in 1956,"Forced air, natural gas",Central air,3 Garage spaces,0.63 Acres,$154 price/sqft,,35608409
1576,Single family residence,Built in 1964,"Baseboard, gas, hot water, steam",None,2 Attached garage spaces,1.06 Acres,$151 price/sqft,,34154593
1577,Single family residence,Built in 1951,Natural gas,Central air,1 Garage space,"7,274 sqft",$103 price/sqft,,34364502
1578,Single family residence,Built in 1803,"Forced air, natural gas",Central air,No garage,10.00 Acres,$195 price/sqft,,333335823
1579,Single family residence,Built in 1968,Forced air,Central air,2 Attached garage spaces,0.53 Acres,$205 price/sqft,,34048484
1580,Single family residence,Built in 1971,"Forced air, gas",Central air,2 Attached garage spaces,0.37 Acres,$219 price/sqft,,35400277
